Name,Metal,Wood,Water,Fire,Earth,None,Heavy1,Heavy2,Light1,Light2,LowDensity1,LowDensity2,HighDensity1,HighDensity2,Soft1,Soft2,Hard1,Hard2,Smooth1,Smooth2,Rough1,Rough2,Sharp,Blunt,Elastic,Precise,SmallThing,Gravel,Liquid,GreatThing_AttackLow,GreatThing_Attack,GreatThing_Ling,GreatThing_Knock,GreatThing_Rot,GreatThing_Fly,Shit,GreatThing_Ling_JinLian,GreatThing_Attack_TianLang
Boar Hide,,,,,x,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,
Rabbit Hide,,,,,x,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,
Bear Hide,,,,,x,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,
Wolf Hide,,,,,x,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,
Bull Hide,,,,,x,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,
Tiger Hide,,,,,x,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,
Fei Hide,,,,,x,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,
Lushu Hide,,,,,x,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,
Demon Hide,,,,,x,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,
Tough Demon Hide,,,,,x,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,
